Path,Size,Modified,Age_Days,Bucket
archive\dreamscape_project\Thea\conftest.py,393,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demo_comprehensive_preview.py,6217,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demo_enhanced_dashboard.py,11749,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demo_full_pipeline.py,20812,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\main.py,29151,2025-11-23T03:41:08,50,0-90d
archive\dreamscape_project\Thea\run_demos.py,1364,2025-11-23T03:41:08,50,0-90d
archive\dreamscape_project\Thea\setup.py,2352,2025-11-23T03:41:08,50,0-90d
archive\dreamscape_project\Thea\start_discord_bot.py,11550,2025-11-23T03:41:12,50,0-90d
archive\dreamscape_project\Thea\__init__.py,523,2025-11-24T16:03:58,49,0-90d
archive\dreamscape_project\Thea\demos\automated_login_example.py,2873,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\complete_scraping_workflow.py,13115,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\demo_launcher.py,10454,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\demo_runner.py,13240,2026-01-01T19:53:52,10,0-90d
archive\dreamscape_project\Thea\demos\memory_agent_example.py,8313,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\new_analytics_demo.py,8875,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\quick_demo.py,1398,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\run_content_generation.py,1210,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\run_demos.py,3983,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\run_gui.py,5433,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\run_multimodal.py,1189,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\scraper_integration_example.py,7186,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\simple_login_test.py,2621,2025-11-23T03:41:06,50,0-90d
archive\dreamscape_project\Thea\demos\simple_undetected_test.py,2473,2025-11-23T03:41:06,50,0-90d
